accession,name,Study Disease/Focus,Release Date,Ancestry (computed),Related Terms,description,principal_investigator,cited_publications,funding_source,study_type,external_study_url,gene_keywords,disease_keywords,participant_count,sample_count,limitations_for_reuse,assay_method,dbGaP_URL,gpa,doc,dataset_uuid,dataset_source_repo
phs003219,Single-Cell Sequencing Reveals Distinct Microenvironment Cell Types    Associated with Response to High Dose Melphalan and Autologous Stem    Cell Transplant in Multiple Myeloma,Multiple Myeloma,2024-06-06,,"Al amyloidosis; Cell Myeloma, Plasma; Cell Myelomas, Plasma; Disease, Kahler; Familial Myeloma; Kahler Disease","<p>The aim of this study is to understand the transcriptome of microenvironment cells in pre- and post- autologous stem cell transplantation (ASCT) samples between patients with complete response and partial response to transplant. Here, we studied immune cells from 40 multiple myeloma patients who have undergone ASCT. Samples were collected from 40 multiple myeloma patients before and after ASCT. Samples were sorted using magnetic activated cell sorting (MACS) and the non-tumor CD138- fraction underwent 3' single cell RNA-sequencing (scRNA-seq) or 5' scRNA-seq + 5' T cell receptor sequencing (TCRseq), to determine the scRNA transcriptome and TCR repertoire. This study includes 24 samples with 3' scRNA-seq, 56 samples with 5' scRNA-seq, and 56 samples with 5' TCRseq data. </p>",Brian Walker,,,Case Set,,,Single-Cell Analysis;Tumor Microenvironment,40.0,136.0,GRU-NPU,OTHER,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003219,nan,nan,7a7a67b8-77f6-4c0b-918b-1be7c64d4512,dbGaP
phs003590,FIGHT-207: Anonymized Genomic Alterations and Clinical Responses,Antineoplastic Agents,2024-06-05,,Blastoma; CA; CA - Cancer; Cancer; MT; Malignancies,"<p><b>Background:</b> FIGHT-207 was a phase 2 study of the FGFR1-FGFR3 inhibitor pemigatinib in patients with previously treated, locally advanced/metastatic or unresectable solid tumor malignancies harboring activating fibroblast growth factor receptor (FGFR) gene alterations. </p><p><b>Population information:</b></p> <p>107 patients were divided into 3 cohorts:</p> <ol type=""A""> <li>FGFR1&#8211;FGFR3 fusions/rearrangements; n=49</li> <li>Activating FGFR1&#8211;FGFR3 non-kinase domain single nucleotide variants (SNVs); n=32</li> <li>FGFR1&#8211;FGFR3 kinase domain mutations or variants of unknown significance (VUS) with potential pathogenicity; n=26</li> </ol> <p></p><p>Participants on study had tumors that were grouped into the following histologies based on &#8805; 5 patients: Cholangiocarcinoma, gynecologic cancers (cervical, endometrial, uterine), central nervous system (glioblastoma, low-grade pediatric glioma, astrocytoma), pancreatic cancer, breast cancer, urothelial tract/bladder cancer, non-small cell lung cancer, and other (adrenal cancer, anal cancer, cancer of unknown primary origin, colorectal cancer, gastric/gastroesophageal cancer, gallbladder cancer, giant cell bone tumor, head and neck cancer, lung neuroendocrine cancer, nasopharyngeal cancer, ovarian cancer, prostate cancer, renal cell cancer, sarcoma, solitary fibrous tumor). </p><p>Among the efficacy-evaluable participants, 99 had both independent review committee (IRC) central best overall response (BOR) and tissue NGS- data; 2 additional patients had <i>Not Evaluabl</i>e (NE) as central BOR </p><p>Baseline tissue targeted NGS data (F1CDx, Foundation Medicine Inc.) of genomic alterations are reported for N=101 participants </p><p>Baseline plasma targeted NGS analysis (PredicineCare, Predicine Inc.) of genomic data are reported for N=83 participants; data at disease-progression are reported for N=78 participants. </p><p><b>Principal Findings: </b></p><p>The FIGHT-207 study provided evidence of clinical benefit of pemigatinib in multiple histologies, explored the clinical actionability of various FGFR1-FGFR3 gene alterations, and leveraged the depth of translational data from targeted NGS analysis of baseline samples and plasma samples obtained at baseline and end of treatment to provide key insights into the biology of FGFR inhibition and the clinical utility of FGFR inhibitors. The FIGHT-207 article (pending in <i>Nat.Med.</i> NMED-A128973B) reports evidence suggesting clinical acquired resistance to FGFR inhibition via secondary FGFR mutations as well as emerging co-mutations in other oncogenic and tumor suppressor pathways. This study also provides evidence of acquired resistance to FGFR inhibition in multiple histologies beyond cholangiocarcinoma and urothelial cancers in a systemic correlative analysis of post-progression ctDNA in a trial. </p><p><b>Data available through dbGaP: </b></p><p>Anonymized information for 101 participants with both IRC central BOR evaluation (including 2 patients with NE as BOR) and tissue NGS data, including tumor histology, enrollable FGFR alteration, and outcome. </p><p>Genomic alterations determined by baseline tissue NGS (F1CDx, Foundation Medicine Inc.) </p><p>Genomic alterations determined by plasma NGS analysis (PredicineCare, Predicine Inc.) of ctDNA analysis at baseline (n=83) and at end of treatment/ disease progression (n=78) including genomic alterations that were not assessed to be Germline SNPs. </p><p> </p><p> </p><p> </p><p> </p><p> </p><p> </p>","Jordi Rodón, MD, PhD;Silvia Damian, MD;Muhammad Furqan, MBBS;Jesús García-Donas, MD, PhD;Hiroo Imai, MD, PhD;Antoine Italiano, MD, PhD;Iben Spanggaard, MD, PhD;Makoto Ueno, MD;Tomoya Yokota, MD, PhD;Lipika Goyal, MD",38789647,,Interventional;Longitudinal,,FGFR1;FGFR2;FGFR3;TP53;BAP1,Neoplasms,101.0,262.0,HMB-COL,Seq_DNA_SNP_CNV,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003590,nan,nan,8f75c210-9d81-4b0d-b723-8cfb485f5335,dbGaP
phs001087,Common Deleterious Germline Variants Shape the Urothelial Cancer Genome,"Carcinoma, Transitional Cell",2024-06-05,,"Neoplasm Metastasis; Urinary Bladder Neoplasms; Metastase; Metastases, Neoplasm; Metastasis; Metastasis, Neoplasm","<p>Our study used whole-exome, whole-genome, and RNA sequencing to analyze samples from primary tumors, locally recurrent or metastatic urothelial tumors collected over time, and matched normal urothelium. We described the molecular landscape of mutational signatures and structural variants in chemotherapy-resistant urothelial cancer.</p>","Bishoy Faltas, MD",38499531;31278255;27749842;39385020,R37CA279737;W81XWH-22-PRCRP-IA;SCC I16-0054;SCC  I14-0047;The  Polyethnic-1000 Initiative;KL2TR000458;ASCO-CCF Young Investigator Award,Case Set,,,Urinary Bladder Neoplasms;Neoplasm Metastasis,174.0,554.0,HMB-MDS,WXS;WGS;AMPLICON;Seq_DNA_SNP_MAF_Ind;Seq_DNA_CNV_Segments;RNA-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001087,nan,nan,efc6a46c-c6f6-432c-a1fc-e211f50fa568,dbGaP
phs003413,"Immune Responses in Checkpoint Myocarditis Across Heart, Blood, and Tumor",Cardiovascular Diseases,2024-06-03,,"Adverse Cardiac Event; Adverse Cardiac Events; Cardiac Event; Cardiac Event, Adverse; Cardiac Events; Cardiac Events, Adverse","<p>Immune checkpoint inhibitors (ICIs) are widely used in anti-cancer therapies, but they can cause morbid and potentially fatal immune-related adverse events (irAEs), such as ICI-related myocarditis (irMyocarditis). The pathogenesis of irMyocarditis and its relationship to anti-tumor immunity remain poorly understood. We sought to define immune responses in heart, tumor, and blood in irMyocarditis patients and controls by leveraging single&#8208;cell RNA sequencing (scRNA&#8208;seq) coupled with T-cell Receptor Sequencing (TCR-Seq). Our analysis demonstrated increased frequencies of cytotoxic T cells, inflammatory mononuclear phagocytes (MNPs), conventional dendritic cells (cDCs), and inflammatory fibroblasts in irMyocarditis heart tissue. Additionally, we revealed decreased frequencies of plasmacytoid dendritic cells, cDCs, and B lineage cells but an increased frequency of MNPs in the blood of irMyocarditis patients. Raw data for heart and blood can be found in dbGaP. All processed data and raw TCRseq data from heart tissue and tumor samples for this study can be found in GEO (Accession number <a href=""https://www.ncbi.nlm.nih.gov/gds/?term=GSE228597"" target=""_blank"">GSE228597</a>).</p><p>Subject IDs with the prefix ""SIC"" were collected by the <a href=""https://www.massgeneral.org/cancer-center/treatments-and-services/severe-immunotherapy-complications"" target=""_blank"">Severe Immunotherapy Complications</a> (SIC) service at MGH due to suspicion of immune-related adverse events. Subject IDs with the prefix ""donor"" were collected by the MGH Melanoma Biobank at scheduled timepoints; this biobank systematically collects samples from patients at MGH at clinically relevant timepoints.</p><p> </p>",Alexandra-Chloe Villani,,,Case-Control;RNA Sequencing;Single Cell Analysis;Transcriptome Analysis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228597,,,69.0,147.0,GRU,RNA-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003413,nan,nan,59122e61-4571-4323-949c-30a90e81d39d,dbGaP
phs003452,Phase 2 Study of Pembrolizumab in Combination with Gemcitabine and    Cisplatin as Neoadjuvant Therapy,Urinary Bladder Neoplasms,2024-05-30,,"Bladder Cancer; Bladder Cancers; Cancer of Bladder; Cancer of the Bladder; Cancer, Bladder; Cancer, Urinary Bladder","<p>The purpose of the clinical trial (<a href=""https://clinicaltrials.gov/study/NCT02690558?term=NCT02690558"" target=""_blank"">NCT02690558</a>) is to evaluate whether adding pembrolizumab (Keytruda) to the combination of gemcitabine and cisplatin will improve shrinkage of the tumor before having a cystectomy, for people with muscle-invasive bladder cancer (MIBC). </p>",Matthew Milowsky,,R01CA241810;Merck Sharp & Dohme LLC,Case Set,,,Immunotherapy;Drug Therapy,37.0,193.0,DS-CA,RNA-Seq;WXS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003452,nan,nan,064ccd7a-d463-4a99-afc4-a1d57b4f6223,dbGaP
phs003538,Light at Night and Prostate Cancer in the Health Professionals Follow-Up    Study,Light Pollution,2024-05-20,,"NGP - New growth of prostate; Neoplasm of Prostate; Neoplasm of the Prostate; Neoplasm, Prostate; Neoplasm, Prostatic; Neoplasms, Prostate","<p>The <a href=""https://www.hsph.harvard.edu/hpfs/"" target=""_blank"">Health Professionals Follow-Up Study</a> (HPFS) is a prospective cohort study of men designed to evaluate hypotheses about men's health related to diet and lifestyle to the incidence of serious illnesses, such as cancer, heart disease, and other vascular diseases. It consisted of 51,529 U.S. male health professionals who were 40-75 years old at baseline in 1986 and completed a mailed six-page baseline questionnaire. Information on age, height, weight, ancestry, medications, disease history, physical activity, lifestyle factors, and diet were gathered, with follow-up questionnaires sent biennially to update information and record health outcomes with every four years to update their diet. Light at Night and Prostate Cancer project uses <a href=""https://www.hsph.harvard.edu/hpfs/"" target=""_blank"">HPFS</a> participants to conduct research assessing the impact of light at night on prostate cancer incidence, with follow-up from baseline in 1986 to 2016. </p><p>Average annual outdoor light at night (exposure) was derived from satellite imagery data from the <a href=""https://www.ncei.noaa.gov/products/dmsp-operational-linescan-system"" target=""_blank"">US Defense Meteorological Satellite Program's Operational Linescan System</a> (maintained by the <a href=""https://www.ngdc.noaa.gov/eog/"" target=""_blank"">National Oceanic and Atmospheric Administration's Earth Observation Group</a>). Prostate cancer cases (outcome) were self-reported by study participants, and then confirmed by the <a href=""https://www.hsph.harvard.edu/hpfs/"" target=""_blank"">HPFS</a> team through medical record and pathology report review. The data for this project are arranged in a long format, meaning that there are multiple rows for each subject ID. The various rows correspond to different questionnaire periods. Because the exposure in this dataset, light at night, and several important covariates are time-varying variables, the format of this dataset captures the variation in exposure status by questionnaire period. The outcome variables are incidence of prostate cancer, including incidence of prostate cancer clinical subtypes, such as advanced, aggressive, high- and low-grade prostate cancer. For the published study, please see Chowdhury-Paulino et al.'s 2023 publication in Cancer Epidemiology Biomarkers and Prevention entitled, &#8220;Association between Outdoor Light at Night and Prostate Cancer in the Health Professionals Follow-up Study.&#8221; (<a href=""https://pubmed.ncbi.nlm.nih.gov/37462694/"" target=""_blank"">PMID: 37462694</a>).<br></p>",Walter C. Willett;Lorelei Mucci,37462694;33692100;33627383;33231639;33022699;32530938;32164144;32079915;31026211;30867564;30602500,U01CA167552,Longitudinal;Longitudinal Cohort;Observational;Population;Prospective,https://www.hsph.harvard.edu/hpfs/;https://www.hsph.harvard.edu/hpfs/publications-using-health-professionals-follow-up-study-data/;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002460.v1.p1,,Prostatic Neoplasms,49148.0,0.0,HMB,,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003538,nan,nan,618423a4-7373-47b1-a3bd-d97f158ca760,dbGaP
phs002317,Genetic Underpinnings of Ethnic Disparities in Bone Toxicities Between    Hispanic and Non-Hispanic Children Treated for Acute Lymphoblastic    Leukemia,"Fractures, Bone",2024-05-20,"European (395), African (4), East Asian (3), African American (22), Hispanic1 (39), Hispanic2 (29), Other Asian or Pacific Islander (5), South Asian (9), Other (10)","Osteonecrosis; Bone Fracture; Bone Fractures; Bone, Broken; Bones, Broken; Broken Bone","Acute lymphoblastic leukemia (ALL) is the most common malignancy among children and young adolescents. More than 90% of children are cured with a combination of multiple chemotherapeutic drugs. Some may suffer from debilitating toxicities due to the cytotoxic drugs, necessitating pharmacogenetic research to search for genetic markers predictive of treatment toxicities, so that treatment can be better tailored based on patients' genetic makeup. Bone toxicities, including osteonecrosis and fractures, most often due to glucocorticoids, are the most common complications in ALL, which have long-lasting detrimental impact on the still developing skeletons in children. In DFCI ALL Consortium Protocol 05-001, a multi-center clinical trial for childhood ALL conducted in Canada and the US, we found that Hispanic children had less drug toxicities to their bones than non-Hispanic children. Although reasons for the observed ethnic differences are largely unknown, patients' inherited genetic background may be at play. This study seeks to perform a novel pharmacogenomic study based on multi-site clinical trials DFCI ALL Consortium Protocol 05-001 and 11-001 to identify genetic underpinnings of ethnic disparities in bone toxicities.",Song Yao;Kara M. Kelly;Qianqian Zhu,26549586;29090520;33496737,R03 CA223730;Rally Foundation Independent Investigator Award,Genotype/Expression array,,,Osteonecrosis,516.0,516.0,GRU-PUB;DS-LEUKLYM,Array_SNP,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002317,nan,nan,aaa05dbc-0967-4997-8a14-ae05aaa65205,dbGaP
phs001052,Modelling Multi-Dimensional ClinOmics for Precision Therapy of Children    and Adolescent Young Adults with Relapsed and Refractory Cancer: A    Report from the Center for Cancer Research,Neoplasms,2024-05-17,,"Carcinoma, Transitional Cell; Desmoplastic Small Round Cell Tumor; Neuroendocrine Tumors; Rhabdoid Tumor; Sarcoma; Sarcoma, Ewing","<p>The Center for Cancer Research (CCR), of the intramural NCI undertook a multidimensional clinical genomics study of children and adolescent young adults with relapsed and refractory cancers who were enrolled on other therapeutic trials to determine the feasibility of a genome guided precision therapy protocol in these patients.</p><p>Note: NCIPM001blood - This sample was previously submitted with study <a href=""./study.cgi?study_id=phs002207"">phs002207</a>, with sample ID NCIPM001blood_E and SRR ID SRR18544311.</p>",Javed Khan,25010205;24436047;26994145;34818552,,Cohort,https://clinicaltrials.gov/ct2/show/study/NCT01109394,,"Sarcoma;Sarcoma, Ewing;Rhabdomyosarcoma;Wilms Tumor;Desmoplastic Small Round Cell Tumor;Carcinoma, Transitional Cell;Rhabdoid Tumor;Sarcoma, Synovial;Neuroblastoma;Neuroendocrine Tumors",83.0,180.0,GRU,RNA-Seq;WXS;Targeted-Capture,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001052,nan,nan,2194b450-2b72-4244-8a29-13ac72d20193,dbGaP
phs003501,Systems Analysis of Single-Cell Heterogeneity Underlying Glioma Drug    Resistance,Glioma,2024-05-14,,"Astrocytoma, Grade IV; Astrocytomas, Grade IV; GBM; GBM (glioblastoma); Giant cell glioblastoma (histologic variant); Glioblastoma multiforme","<p>This study characterizes the transcriptional regulatory mechanisms that drive responses of two patient-derived glioblastoma multiforme (GBM) stem-like cells (PD-GSCs) that have distinct phenotypes - one sensitive and another resistant to the drug pitavastatin. </p><p>This study investigates the differing mechanisms driving drug response in the two PD-GSCs at the single-cell level, and provides an approach that can be used to infer transcriptional regulatory network models, which can then be used to identify mechanisms driving cell-state transitions, e.g., proneural-to-mesenchymal transitions (PMT), which has been observed experimentally and clinically in GBM. </p><p>The use of these network models enabled the identification of transcription factor and gene targets that perturbed drug-induced PMT through 1) simulations of network dynamics network, and 2) characterization of gene program activities over the time-course response to drug treatment. These results enabled the identification of multiple siRNAs and the drug vinflunine as secondary components that potentiate the efficacy of pitavastatin. This work demonstrates an approach to uncover the transcriptional network topology (TRN) topology of PD-GSCs, and use it to rationally predict combinatorial treatments that block treatment escape and acquired resistance to drugs in GBM. </p><p> </p><p> </p>",James H. Park,,,Case Set;Single Cell Analysis;Stem Cell Lines;Transcriptome Analysis,,IDH1;MGMT,"Glioblastoma;Cells, Cancer Stem",2.0,29.0,GRU-PUB,RNA-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003501,nan,nan,965b92f4-7633-4ef5-a0c1-c048c7b48152,dbGaP
phs003586,Luminal Androgen Receptor-Enriched Triple Negative Breast Cancer,Breast Neoplasms,2024-05-13,,Triple Negative Breast Neoplasms; Breast Cancer; Breast Malignant Neoplasm; Breast Malignant Neoplasms; Breast Malignant Tumor; Breast Malignant Tumors,<p>This is a study to determine the efficacy of androgen receptor (AR) inhibitors in LAR (luminal androgen receptor)-enriched triple-negative breast cancer (TNBC) in the neoadjuvant setting. Twenty-four patients were treated with neoadjuvant AR inhibitor enzalutamide and paclitaxel for 12 weeks. Whole exome sequencing and RNA-sequencing was performed prior to treatment. The data for only two patients are consented for release through dbGaP. The remaining data are available under a Materials Transfer Agreement with the University of Texas MD Anderson Cancer Center.<br></p>,Bora Lim;Naoto T. Ueno,,,Case Set,,AR,"Triple Negative Breast Neoplasms;Neoadjuvant Therapy;Receptors, Androgen;Androgen Receptor Antagonists;Drug Resistance, Neoplasm;High-Throughput Nucleotide Sequencing",2.0,4.0,GRU,RNA-Seq;WXS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003586,nan,nan,06c16758-2077-477f-9d05-c0978fdfa7c6,dbGaP
phs003570,Detecting and Subtyping Lung Cancer Through Analysis of Circulating Tumor    DNA,Lung Neoplasms,2024-05-10,,"Carcinoma, Neuroendocrine; Lung Tumor; Lung cancer; Lung neoplasm; Lung tumour; Neoplasm of Lung","<p>Small cell lung cancer (SCLC) is among the most aggressive tumors with poor clinical outcomes. Tumors are rarely resected, which is a major barrier to molecular profiling of tumor tissue; therefore, non-invasive approaches using circulating tumor DNA (ctDNA) from liquid biopsies are needed to help advance research and clinical care for patients with SCLC. We developed a targeted capture panel that profiles SCLC genes and transcriptional regulation sites, including transcription start sites (TSS) and transcription factor binding sites (TFBS). This is a single assay that detects genomic mutations and transcriptional regulation activity based on ctDNA fragment patterns reflecting epigenetic nucleosomal positions. We applied this assay to sequence patient-derived xenograft (PDX) and patient plasma samples. We also performed whole genome sequencing (WGS) for a subset of the PDX plasma samples to validate the capture data. We developed new algorithms to quantify activity of key SCLC marker genes of <a href=""https://www.ncbi.nlm.nih.gov/gene/429"" target=""_blank"">ASCL1</a>, <a href=""https://www.ncbi.nlm.nih.gov/gene/4760"" target=""_blank"">NEUROD1</a>, <a href=""https://www.ncbi.nlm.nih.gov/gene/25833"" target=""_blank"">POU2F3</a>, and <a href=""https://www.ncbi.nlm.nih.gov/gene/474"" target=""_blank"">ATOH1</a> and to classify SCLC subtypes based on activity of these markers. Furthermore, we developed a model to classify SCLC from non-small cell lung cancer (NSCLC), which has potential important applications for monitoring transdifferentiation and tumor plasticity.</p>",David MacPherson;Gavin Ha,38598634,,Case-Control;Cohort,,ASCL1;ATOH1;NEUROD1;POU2F3,"Small Cell Lung Carcinoma;Circulating Tumor DNA;Cell-Free Nucleic Acids;Carcinoma, Neuroendocrine",143.0,348.0,GRU,WGS;Targeted-Capture,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003570,nan,nan,cdbc3d30-e990-43ff-98a1-87a7018af6f0,dbGaP
phs002288,Analysis of Epigenomes and Genome Topology in Colorectal Cancer,Computational Biology,2024-05-10,,"CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal","When diagnosing cancer, pathologists use nuclear morphology as a hallmark of tumor cells, but the topological changes linked to alterations in the shape of the nucleus were poorly understood. To uncover the molecular changes that occur in the 3D structure of cancer genomes, we integrated topological maps for colon tumors and normal colon tissues with epigenetic, transcriptional, and imaging data. We characterized tumor-associated changes in chromatin loops, topologically associated domains (TADs), and large-scale compartments. We found that chromatin loop rewiring contributes to oncogenic gene expression programs. Whereas TAD structures are largely stable, the spatial partitioning of the open and closed genome compartments is compromised in tumors and is accompanied by hypomethylation and histone mark rearrangements. We also identified a compartment that is reorganized in tumors and is at the interface between the canonical A and B compartments. Similar changes were evident in non-malignant cells that had accumulated excessive cellular divisions. Our analyses suggest that these compartment changes repress stemness and invasion programs while inducing immunity genes, and they may therefore restrain malignant progression.","Bradley E. Bernstein, MD, PhD",32841603,DP1 CA216873;R35 GM133580;R01 GM083084;T32 GM074897;T32 CA009216,Cohort;Epigenetics;Full Transcriptome Sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133928,APC;BRAF;KRAS;MLH1;TP53,Epigenomics;Colorectal Neoplasms;Molecular Conformation,28.0,99.0,DS-GRR-MDS,Hi-C;WGS;ChIP-Seq;OTHER;RNA-Seq;Bisulfite-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs002288,nan,nan,6d0996a3-5ed5-48a2-bca4-84976976fa99,dbGaP
phs003178,"Combined PDCD1, BRAF and MAP2K7 Inhibition in BRAFV600E Colorectal    Cancer: A Phase 2 Trial",Colorectal Neoplasms,2024-05-09,,"CRC; Cancer of Large Bowel; Cancer of Large Intestine; Cancer of the Large Bowel; Cancer of the Large Intestine; Cancer, Colorectal","<p>In this study, we evaluated the clinical efficacy of combined <a href=""https://www.ncbi.nlm.nih.gov/gene/5133"" target=""_blank"">PDCD1</a>, <a href=""https://www.ncbi.nlm.nih.gov/gene/673"" target=""_blank"">BRAF</a>, and <a href=""https://www.ncbi.nlm.nih.gov/gene/5609"" target=""_blank"">MAP2K7</a> inhibition in metastatic BRAFV600E Colorectal Cancer (CRC) patients (<a href=""https://clinicaltrials.gov/ct2/show/NCT03668431"" target=""_blank"">NCT03668431</a>). We performed bulk whole exome sequencing (WXS) and bulk RNA sequencing (RNA-Seq) in 35 pre-treatment tumor biopsies and matching germline for tumor mutational burden (TMB), BM1/BM2 transcriptional subtypes, and consensus molecular subtypes (CMS) analysis, which were previously reported to affect prognosis and response to therapy (PMIDs: <a href=""https://pubmed.ncbi.nlm.nih.gov/32047001/"" target=""_blank"">32047001</a>, <a href=""https://pubmed.ncbi.nlm.nih.gov/27354468/"" target=""_blank"">27354468</a>, and <a href=""https://pubmed.ncbi.nlm.nih.gov/26457756/"" target=""_blank"">26457756</a>). Analysis of bulk data showed that TMB, BM1/BM2 subtypes, and CMS did not correlate with clinical response in this study. Analysis of single cell RNA sequencing (scRNA-Seq) data of tumor epithelial cells from 23 paired day 0 and day 15 tumor biopsies revealed greater induction of tumor cell-intrinsic immune programs and more complete MAPK inhibition in patients with better clinical outcome.</p>",Ryan B. Corcoran;Gad Getz;Nir Hacohen,36702949;32047001;27354468;26457756,"P50 CA127003;U54CA224068;R01 CA208756;SU2C-AACR-DT22-17;Arthur, Sandra, and Sarah Irving Fund for Gastrointestinal Immuno-Oncology",Case Set;Cohort;Tumor vs. Matched-Normal,,BRAF;MAP2K7;PDCD1;KRAS;NRAS,,34.0,159.0,DS-CA-MDS,RNA-Seq;WXS,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs003178,nan,nan,205a8329-8ad9-47e4-ad57-faec50591f74,dbGaP
phs000933,Genomic Profiling of Melanoma,Melanoma,2024-05-06,,"Cancer of skin pigment cells; MM - malignant melanoma; Malignant Melanoma; Malignant Melanomas; Melanoma, Malignant; Melanomas","<p>This study reports on genomic profiling [whole-exome sequencing (WXS), bulk RNA sequencing (RNA-seq), and/or single-cell RNA sequencing (scRNA-seq)] of patient-derived melanoma samples and matched normal samples. The goal is to elucidate the genetic and cellular basis of sun-exposed and sun-shielded melanomas and to relate these findings to survival and regional metastasis. Specimens were collected by the Tissue Resource Core of the <a href=""https://medicine.yale.edu/dermatology/research/spore-in-skin-cancer/"" target=""_blank"">Yale SPORE in Skin Cancer</a> with participants' informed signed consent according to Health Insurance Portability and Accountability Act (HIPAA) regulations with a Human Investigative Committee protocol. The melanomas used for sequencing were from fresh or snap-frozen tumors, or from short-term cell cultures. The cell cultures were routinely checked for mycoplasma contamination and were discarded when found positive. Matching normal DNA was from circulating lymphocytes or normal skin. We also include 77 WES-sequenced samples from the Yale Spitzoid neoplasm repository, which collects specimen and data according to a protocol approved by the Yale Human Investigative Committee.</p>","Ruth Halaban, PhD",35197475;28186096;28018970;26214590;22842228,1 P50 CA121974;Melanoma Research Alliance;Gilead Sciences;Howard Hughes Medical Institute;Yale Department of Dermatology;Yale Comprehensive Cancer Center;The Roslyn and Jerome Meyer Award;The Stinehart-Reed foundation (AMN);The Stanford Bio-X Interdisciplinary Initiatives Seed Grants Program (IIP) (AMN);Grant 81620108024 (XC),Case Set,,BRAF;NF1;NRAS,High-Throughput Nucleotide Sequencing,403.0,999.0,DS-M-MDS-GSO,RNA-Seq;WXS;Seq_DNA_SNP_MAF_Ind;Seq_DNA_SNP_MAF_Sum,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000933,nan,nan,9a034006-593f-44f7-b89b-1860e44fc8d7,dbGaP
phs001657,Functional Genomic Landscape of Acute Myeloid Leukemia,"Leukemia, Myeloid, Acute",2024-05-02,,AML; AML - Acute Myeloid Leukemia; AML - Acute myeloblastic leukemia; AML - acute myeloid leukaemia; AML adult; ANLL,"<p>The implementation of targeted therapies for acute myeloid leukemia has been challenged by complex mutational patterns within and across patients as well as a dearth of pharmacologic agents for most mutational events. The initial findings from the Beat AML program were from a cohort of 672 tumor specimens collected from 562 patients. Additional patients have been added in subsequent versions. We assessed these specimens using whole exome sequencing, RNA-sequencing, and ex vivo drug sensitivity analyses. Our data reveal novel mutational events not previously detected in AML. We show association of drug response with mutational status, including instances of drug sensitivity that are specific to combinatorial mutational events. Integration with RNA-sequencing also revealed gene expression signatures, which predict a role of specific gene networks in drug response. Collectively, this report offers a dataset, accessible by the Beat AML data viewer (<a href=""www.vizome.org"" target=""_blank"">www.vizome.org</a>), that can be leveraged to address clinical, genomic, transcriptomic, and functional inquiries into the biology of AML.</p>","Jeffrey W. Tyner, PhD",,;1U54CA224019;1U01CA217862;3P30CA069533-18S5,Longitudinal,http://www.vizome.org,,,829.0,2161.0,DS-LEU,RNA-Seq,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001657,nan,nan,252a9cbc-df4b-45af-8d1a-95beedf498ed,dbGaP
